	action										
Rank	Title	Genre	Description	Director	Actors	Year	Runtime (Minutes)	Rating	Votes	Revenue (Millions)	Metascore
51	Star Wars: Episode VII - The Force Awakens	Action;Adventure;Fantasy	Three decades after the defeat of the Galactic Empire; a new threat arises. The First Order attempts to rule the galaxy and only a ragtag group of heroes can stop them; along with the help of the Resistance.	J.J. Abrams	Daisy Ridley; John Boyega; Oscar Isaac; Domhnall Gleeson	2015	136	8.1	661608	936.63	81
55	The Dark Knight	Action;Crime;Drama	When the menace known as the Joker wreaks havoc and chaos on the people of Gotham; the Dark Knight must come to terms with one of the greatest psychological tests of his ability to fight injustice.	Christopher Nolan	Christian Bale; Heath Ledger; Aaron Eckhart;Michael Caine	2008	152	9	1791916	533.32	82
77	The Avengers	Action;Sci-Fi	Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity.	Joss Whedon	Robert Downey Jr.; Chris Evans; Scarlett Johansson;Jeremy Renner	2012	143	8.1	1045588	623.28	69
86	Jurassic World	Action;Adventure;Sci-Fi	A new theme park; built on the original site of Jurassic Park; creates a genetically modified hybrid dinosaur; which escapes containment and goes on a killing spree.	Colin Trevorrow	Chris Pratt; Bryce Dallas Howard; Ty Simpkins;Judy Greer	2015	124	7	455169	652.18	59
88	Avatar	Action;Adventure;Fantasy	A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.	James Cameron	Sam Worthington; Zoe Saldana; Sigourney Weaver; Michelle Rodriguez	2009	162	7.8	935408	760.51	83
											
	drama										
Rank	Title	Genre	Description	Director	Actors	Year	Runtime (Minutes)	Rating	Votes	Revenue (Millions)	Metascore
55	The Dark Knight	Action;Crime;Drama	When the menace known as the Joker wreaks havoc and chaos on the people of Gotham; the Dark Knight must come to terms with one of the greatest psychological tests of his ability to fight injustice.	Christopher Nolan	Christian Bale; Heath Ledger; Aaron Eckhart;Michael Caine	2008	152	9	1791916	533.32	82
115	Harry Potter and the Deathly Hallows: Part 2	Adventure;Drama;Fantasy	Harry; Ron and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.	David Yates	Daniel Radcliffe; Emma Watson; Rupert Grint; Michael Gambon	2011	130	8.1	590595	380.96	87
126	The Jungle Book	Adventure;Drama;Family	After a threat from the tiger Shere Khan forces him to flee the jungle; a man-cub named Mowgli embarks on a journey of self discovery with the help of panther; Bagheera; and free spirited bear; Baloo.	Jon Favreau	Neel Sethi; Bill Murray; Ben Kingsley; Idris Elba	2016	106	7.5	198243	364	77
332	American Sniper	Action;Biography;Drama	Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home to his wife and kids after four tours of duty; however; Chris finds that it is the war he can't leave behind.	Clint Eastwood	Bradley Cooper; Sienna Miller; Kyle Gallner; Cole Konis	2014	133	7.3	353305	350.12	72
942	The Twilight Saga: Eclipse	Adventure;Drama;Fantasy	As a string of mysterious killings grips Seattle; Bella; whose high school graduation is fast approaching; is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.	David Slade	Kristen Stewart; Robert Pattinson; Taylor Lautner;Xavier Samuel	2010	124	4.9	192740	300.52	58
											
	crime										
Rank	Title	Genre	Description	Director	Actors	Year	Runtime (Minutes)	Rating	Votes	Revenue (Millions)	Metascore
55	The Dark Knight	Action;Crime;Drama	When the menace known as the Joker wreaks havoc and chaos on the people of Gotham; the Dark Knight must come to terms with one of the greatest psychological tests of his ability to fight injustice.	Christopher Nolan	Christian Bale; Heath Ledger; Aaron Eckhart;Michael Caine	2008	152	9	1791916	533.32	82
